data_scale,architecture,epoch,checkpoint,parameter_count,one_step_NRMSE,NRMSE_H5,NRMSE_H10,NRMSE_H20,NRMSE_H50,mean_NRMSE_H5_H10_H20,rollout_starts,evaluation_seconds
1000,MLP,2,outputs/checkpoints/world_model_ib_m1000_mlp_best.pt,114438,0.18693755567073822,0.22098760306835175,0.2572351396083832,0.32211408019065857,0.49445226788520813,0.26677894095579785,9600,0.31778119993396103
1000,MLP,5,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_005.pt,114438,0.19705472886562347,0.29401305317878723,0.4038820266723633,0.49662676453590393,0.5738912224769592,0.39817394812901813,9600,0.3091001999564469
1000,MLP,10,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_010.pt,114438,0.19263583421707153,0.2792590260505676,0.37042683362960815,0.4323362112045288,0.4712054431438446,0.36067402362823486,9600,0.2662094999104738
1000,MLP,15,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_015.pt,114438,0.1915551722049713,0.3397582471370697,0.5127735733985901,0.7165157794952393,0.7238887548446655,0.5230158666769663,9600,0.27183980005793273
1000,MLP,20,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_020.pt,114438,0.19487804174423218,0.27025076746940613,0.3639283776283264,0.47756531834602356,0.6728869080543518,0.3705814878145854,9600,0.26505999988876283
1000,MLP,25,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_025.pt,114438,0.19581887125968933,0.2598663568496704,0.3438093960285187,0.4324803650379181,0.5775036215782166,0.3453853726387024,9600,0.2687089000828564
1000,MLP,30,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_030.pt,114438,0.19881220161914825,0.29330116510391235,0.4404813051223755,0.5898393988609314,1.0861132144927979,0.44120728969573975,9600,0.2753218999132514
1000,MLP,35,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_035.pt,114438,0.20226030051708221,0.28230464458465576,0.3969636559486389,0.5364593267440796,0.839216411113739,0.40524254242579144,9600,0.30272700008936226
1000,MLP,40,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_040.pt,114438,0.20357643067836761,0.289838045835495,0.41652724146842957,0.5602962374687195,0.971284806728363,0.42222050825754803,9600,0.28564650006592274
1000,MLP,45,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_045.pt,114438,0.20126397907733917,0.2805767059326172,0.4001771807670593,0.5253491401672363,0.7521216869354248,0.40203434228897095,9600,0.2850099001079798
1000,MLP,50,outputs/checkpoints/world_model_ib_m1000_mlp_epoch_050.pt,114438,0.2032153308391571,0.2765454947948456,0.37766969203948975,0.47872525453567505,0.6202604174613953,0.3776468137900035,9600,0.3208689000457525
1000,GRU,5,outputs/checkpoints/world_model_ib_m1000_gru_epoch_005.pt,177030,0.1811409890651703,0.21357907354831696,0.26044225692749023,0.3758053183555603,0.6507421731948853,0.2832755496104558,9600,3.0704611998517066
1000,GRU,7,outputs/checkpoints/world_model_ib_m1000_gru_best.pt,177030,0.17880012094974518,0.19942595064640045,0.2253868132829666,0.29088589549064636,0.41465166211128235,0.23856621980667114,9600,2.962275099940598
1000,GRU,10,outputs/checkpoints/world_model_ib_m1000_gru_epoch_010.pt,177030,0.18296410143375397,0.22512757778167725,0.2832614779472351,0.41102543473243713,0.7049492001533508,0.30647149682044983,9600,2.948668599827215
1000,GRU,15,outputs/checkpoints/world_model_ib_m1000_gru_epoch_015.pt,177030,0.18411993980407715,0.21958382427692413,0.2794186770915985,0.377050518989563,0.6257505416870117,0.2920176734526952,9600,2.978391799842939
1000,GRU,20,outputs/checkpoints/world_model_ib_m1000_gru_epoch_020.pt,177030,0.19379323720932007,0.23363296687602997,0.2839212119579315,0.3632233738899231,0.5580205321311951,0.2935925175746282,9600,3.0058176999446005
1000,GRU,25,outputs/checkpoints/world_model_ib_m1000_gru_epoch_025.pt,177030,0.2004503756761551,0.24529078602790833,0.3008019030094147,0.3942647874355316,0.5918554067611694,0.3134524921576182,9600,3.019596300087869
1000,GRU,30,outputs/checkpoints/world_model_ib_m1000_gru_epoch_030.pt,177030,0.20116376876831055,0.2571825385093689,0.3267081081867218,0.4287879467010498,0.6093911528587341,0.3375595311323802,9600,3.0302613999228925
1000,GRU,35,outputs/checkpoints/world_model_ib_m1000_gru_epoch_035.pt,177030,0.205144464969635,0.2613603472709656,0.32915017008781433,0.44043534994125366,0.616759181022644,0.34364862243334454,9600,3.0281237999442965
1000,GRU,40,outputs/checkpoints/world_model_ib_m1000_gru_epoch_040.pt,177030,0.20890554785728455,0.2607790529727936,0.32921645045280457,0.44437745213508606,0.6162127256393433,0.3447909851868947,9600,3.052355700172484
1000,GRU,45,outputs/checkpoints/world_model_ib_m1000_gru_epoch_045.pt,177030,0.21455655992031097,0.2688128352165222,0.3408876061439514,0.44314566254615784,0.5873540043830872,0.3509487013022105,9600,3.0702730999328196
1000,GRU,50,outputs/checkpoints/world_model_ib_m1000_gru_epoch_050.pt,177030,0.21280428767204285,0.2579367458820343,0.3282967209815979,0.42081183195114136,0.5517532229423523,0.3356817662715912,9600,3.068364400183782
1000,LSTM,5,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_005.pt,227462,0.18167366087436676,0.22232620418071747,0.2718251049518585,0.346425861120224,0.5710163116455078,0.28019239008426666,9600,4.952168700052425
1000,LSTM,10,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_010.pt,227462,0.1797744780778885,0.21194720268249512,0.2683829665184021,0.3968198895454407,0.6555051803588867,0.292383352915446,9600,4.986460600048304
1000,LSTM,13,outputs/checkpoints/world_model_ib_m1000_lstm_best.pt,227462,0.17900849878787994,0.21421071887016296,0.26345714926719666,0.34290286898612976,0.5465120077133179,0.27352357904116315,9600,4.99499909998849
1000,LSTM,15,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_015.pt,227462,0.18099524080753326,0.2132253795862198,0.2683080732822418,0.37322232127189636,0.5550705790519714,0.2849185913801193,9600,4.990989299956709
1000,LSTM,20,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_020.pt,227462,0.18934635818004608,0.2350459098815918,0.303801953792572,0.4452405571937561,0.6690271496772766,0.32802947362263996,9600,4.993684799876064
1000,LSTM,25,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_025.pt,227462,0.19629724323749542,0.25754043459892273,0.3283764719963074,0.43096476793289185,0.6079543232917786,0.33896055817604065,9600,5.02730210009031
1000,LSTM,30,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_030.pt,227462,0.19640545547008514,0.2494760900735855,0.3057650327682495,0.4056054949760437,0.6032463908195496,0.3202822059392929,9600,5.028055900009349
1000,LSTM,35,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_035.pt,227462,0.20133227109909058,0.258841335773468,0.3092425763607025,0.38425710797309875,0.5218437910079956,0.3174470067024231,9600,5.033761900151148
1000,LSTM,40,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_040.pt,227462,0.20287249982357025,0.254168301820755,0.3090602159500122,0.3941839337348938,0.5609375238418579,0.31913748383522034,9600,5.025204699952155
1000,LSTM,45,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_045.pt,227462,0.2059568613767624,0.25446411967277527,0.2937746047973633,0.3785136342048645,0.5378837585449219,0.30891745289166767,9600,5.007629799889401
1000,LSTM,50,outputs/checkpoints/world_model_ib_m1000_lstm_epoch_050.pt,227462,0.2112726867198944,0.2598905563354492,0.30100661516189575,0.3644186854362488,0.5047839879989624,0.30843861897786456,9600,5.00280290003866
1000,Transformer-4L,4,outputs/checkpoints/world_model_ib_m1000_transformer4_best.pt,158086,0.17995047569274902,0.23467712104320526,0.3294970691204071,0.3785305321216583,0.5125308632850647,0.3142349074284236,9600,5.448355000000447
1000,Transformer-4L,5,outputs/checkpoints/world_model_ib_m1000_transformer4_epoch_005.pt,158086,0.18005576729774475,0.2455948442220688,0.3521994650363922,0.4408789575099945,0.6486108899116516,0.34622442225615185,9600,5.4779086001217365
1000,Transformer-4L,10,outputs/checkpoints/world_model_ib_m1000_transformer4_epoch_010.pt,158086,0.18589437007904053,0.2615073621273041,0.358925461769104,0.5138960480690002,0.7711884379386902,0.3781096239884694,9600,5.495022199815139
1000,Transformer-4L,15,outputs/checkpoints/world_model_ib_m1000_transformer4_epoch_015.pt,158086,0.18264208734035492,0.22106017172336578,0.26920780539512634,0.3666938245296478,0.7139966487884521,0.2856539338827133,9600,5.494282800005749
1000,Transformer-4L,20,outputs/checkpoints/world_model_ib_m1000_transformer4_epoch_020.pt,158086,0.18707548081874847,0.23400594294071198,0.31805962324142456,0.44974884390830994,0.5058900713920593,0.3339381366968155,9600,5.500840900000185
